name,intercept,estimate,stderror_int,stderror_est,confint_99_low,confint_99_high,intercept_wo_0
combined_model_0_ssp_1yrs,,0.02007,,0.00144,0.01635,0.02379,-0.04718
combined_model_0_pct_1yrs,,0.02248,,0.00114,0.01953,0.02542,-0.02151
combined_model_ssp_1yrs,-0.30476,0.01377,0.03516,0.00249,0.00733,0.0202,-0.04718
combined_model_pct_1yrs,-0.40192,0.01987,0.0281,0.00198,0.01475,0.02499,-0.02151
