name,intercept,estimate,stderror_int,stderror_est,confint_99_low,confint_99_high,intercept_wo_0
combined_model_0_ssp_10yrs,,0.02264,,0.00039,0.02163,0.02364,-0.00132
combined_model_0_pct_10yrs,,0.02475,,0.00044,0.0236,0.02589,0.01006
combined_model_ssp_10yrs,-0.42144,0.02245,0.01053,0.00076,0.02048,0.02442,-0.00132
combined_model_pct_10yrs,-0.48792,0.02601,0.01146,0.00082,0.02389,0.02813,0.01006
