RowNames,ACCESS-ESM1-5,CESM2,CanESM5,GISS-E2-1-G,MIROC-ES2L,MPI-ESM1.2-LR,NorESM2-LM,MPI-ESM1.2-LR_ssp126,NorESM2-LM_ssp126,MPI-ESM1.2-LR_ssp585,NorESM2-LM_ssp585
mean_cum_C_AMOC_2100,7.241600204515185,11.610035523149596,3.8976281488591615,9.834851956989068,11.246912160869618,5.770169703483156,12.25119396198856,4.885250615512547,13.015513660501457,6.622169719341932,13.783311255346154
std_cum_C_AMOC_2100,2.6198836963893117,4.197933136409822,3.9447117541115144,3.8515622265214366,4.558820419027343,2.653237874367622,4.410324348415459,1.6826869613651136,8.530329006246392,1.1587801258661943,4.509290318588277
mean_dT_AT_2100,0.010708667313330117,0.017089500242775096,0.005888396367161995,0.0143608523991212,0.01655636867744174,0.008425658664510479,0.018195518300840634,0.008139299141541038,0.02237355433805123,0.007074808399672352,0.015240278831783445
std_dT_AT_2100,0.005392225951994655,0.009447779972600804,0.006620097368570665,0.007778078370142827,0.009207826946139606,0.004921803313503348,0.010076374169834486,0.0044483389412747435,0.01876664874802033,0.0026277064010289167,0.00823421436705641
mean_add_damages,4.451317564619897e12,7.708968323882576e12,2.988915223306887e12,6.489720520787669e12,7.266957672943326e12,3.696684768053622e12,8.018124729911942e12,1.9713025099973945e12,5.453552205598125e12,2.257573183687037e12,4.616759674838674e12
std_add_damages,2.4513486481546973e12,4.766261020804188e12,3.1518930696246846e12,3.827639757732609e12,4.3594304593535425e12,2.2786033698154624e12,4.901664815257367e12,1.1993023908931475e12,5.2265235806898545e12,9.16523312401244e11,2.616014870191349e12
mean_welfare_loss,5.979955552154817e12,1.0317647014327021e13,3.97881268927348e12,8.68335095591922e12,9.738689035901527e12,4.958261470704236e12,1.0738108805792072e13,2.5047656911362676e12,6.904857700707558e12,3.584502120122978e12,7.409527149624138e12
std_welfare_loss,3.4531395657336235e12,6.777781941018915e12,4.399579617391436e12,5.396390481924953e12,6.136912370085813e12,3.186294085593395e12,6.94979501686263e12,1.5591220139786113e12,6.758611544978824e12,1.7516353630744124e12,4.832034208906158e12
