name,intercept,estimate,stderror_int,stderror_est,confint_99_low,confint_99_high,intercept_wo_0
combined_model_0_ssp_5yrs,,0.022714381045876007,,0.000540654676732704,0.021316105697678566,0.024112656394073447,-0.004901928567261293
combined_model_0_pct_5yrs,,0.024385072596419626,,0.0005617119034184965,0.02293475169892181,0.025835393493917443,0.006879903461671444
combined_model_ssp_5yrs,-0.41712243929572834,0.022030154369725025,0.014170201233699147,0.0010150164827760612,0.019405031968347464,0.024655276771102585,-0.004901928567261293
combined_model_pct_5yrs,-0.4764923273065388,0.025246680960678756,0.014391229545095932,0.0010245225565746862,0.022601390950106943,0.027891970971250568,0.006879903461671444
