emuc,prtp,persistence,damages,Add. damages MPI,Add. damages Nor,Abs. SCC MPI,Abs. SCC Nor,Rel. SCC MPI,Rel. SCC Nor
0.8,0.001,0.25,BHM,1.2276812724270406e13,2.7819215966037676e13,384.65826242110376,390.43344186276255,0.6746435533484909,2.186151789480169
0.8,0.005,0.25,BHM,7.325272841213522e12,1.597763536263446e13,261.7771511599719,265.3196349521875,0.6066116069214189,1.968064619256407
0.8,0.01,0.25,BHM,3.7905122606017583e12,8.222428266128727e12,171.0710340853873,173.06936483098949,0.5227705861761235,1.697006447725843
1.05,0.001,0.25,BHM,6.583509852869067e12,1.455016878604225e13,277.88414159176085,281.65547822873646,0.610322295361117,1.9757668736552676
1.05,0.005,0.25,BHM,3.8755462974459966e12,8.524833027597752e12,197.32937035642428,199.70116867790915,0.5403072788764514,1.7487504600150345
1.05,0.01,0.25,BHM,2.1522720736925696e12,4.519256711178499e12,135.84841014028555,137.23560885343113,0.45840130915970784,1.4842194610011807
1.5,0.001,0.25,BHM,2.2404183059573936e12,4.815300953953604e12,194.5139330394047,196.7280920269373,0.4415823918887001,1.5849124808956085
1.5,0.005,0.25,BHM,1.3675933159055823e12,2.9199691888985894e12,148.81658052834854,150.2476442742317,0.37732690454489093,1.342584626041999
1.5,0.01,0.25,BHM,7.99912841606446e11,1.645505480834491e12,111.59736803741298,112.49396615245159,0.32780901691068076,1.1338649842912985
1.05,0.005,0.25,low,2.3283854639341577e12,4.998918999877439e12,112.12849596812306,113.45589702478642,0.5322952737054086,1.7224180326253722
1.05,0.005,0.25,BHM,3.8755462974459966e12,8.524833027597752e12,197.32937035642428,199.70116867790915,0.5403072788764514,1.7487504600150345
1.05,0.005,0.25,high,5.168948854153957e12,1.1546510676436861e13,280.1555441180561,283.5263065122284,0.5380393203787933,1.7476882073632267
1.05,0.005,0.0,low,7.918835058479312e12,1.4923513558041824e13,2142.2219146191405,2162.692692901698,0.453550652837084,1.4134709809211805
1.05,0.005,0.0,BHM,-1.0213536549693198e12,-6.530849710222482e12,4078.1815851303663,4119.179232042623,0.4910332029209224,1.5012618578005403
1.05,0.005,0.0,high,-3.071781228957923e14,-7.720374638736231e14,6136.813778426095,6196.344681109928,0.4709228005561052,1.4455531125954617
1.05,0.005,1.0,low,6.700960756374149e11,1.470665744579111e12,29.99509327063965,30.37152749879609,0.5656426112424647,1.827727370034281
1.05,0.005,1.0,BHM,1.2111111378595767e12,2.6944878308853296e12,53.97708278727395,54.68040387749995,0.5951628095195515,1.905917224638438
1.05,0.005,1.0,high,1.786541451977482e12,3.927694893359549e12,78.44337332077147,79.48041011305476,0.6171079280530465,1.9472858441386391
