Year,diff_amoc26.5N_1pctbgcLR,diff_amoc26.5N_g011pctbgcLR,diff_amoc26.5N_g031pctbgcLR,diff_amoc26.5N_g051pctbgcLR,diff_amoc26.5N_u011pctbgcLR,diff_amoc26.5N_u031pctbgcLR,diff_amoc26.5N_u051pctbgcLR,diff_dissic_1pctbgcLR,diff_dissic_g011pctbgcLR,diff_dissic_g031pctbgcLR,diff_dissic_g051pctbgcLR,diff_dissic_u011pctbgcLR,diff_dissic_u031pctbgcLR,diff_dissic_u051pctbgcLR,total_amoc26.5N_1pctbgcLR,total_amoc26.5N_g011pctbgcLR,total_amoc26.5N_g031pctbgcLR,total_amoc26.5N_g051pctbgcLR,total_amoc26.5N_u011pctbgcLR,total_amoc26.5N_u031pctbgcLR,total_amoc26.5N_u051pctbgcLR,total_dissic_1pctbgcLR,total_dissic_g011pctbgcLR,total_dissic_g031pctbgcLR,total_dissic_g051pctbgcLR,total_dissic_u011pctbgcLR,total_dissic_u031pctbgcLR,total_dissic_u051pctbgcLR,g01_flux,g03_flux,g05_flux,u01_flux,u03_flux,u05_flux,g01_flux_rm6yrs,g03_flux_rm6yrs,g05_flux_rm6yrs,u01_flux_rm6yrs,u03_flux_rm6yrs,u05_flux_rm6yrs,anom_amoc26.5N_g011pctbgcLR_rm6yrs,anom_amoc26.5N_g031pctbgcLR_rm6yrs,anom_amoc26.5N_g051pctbgcLR_rm6yrs,anom_amoc26.5N_u011pctbgcLR_rm6yrs,anom_amoc26.5N_u031pctbgcLR_rm6yrs,anom_amoc26.5N_u051pctbgcLR_rm6yrs,g01_flux_rm10yrs,g03_flux_rm10yrs,g05_flux_rm10yrs,u01_flux_rm10yrs,u03_flux_rm10yrs,u05_flux_rm10yrs,anom_amoc26.5N_g011pctbgcLR_rm10yrs,anom_amoc26.5N_g031pctbgcLR_rm10yrs,anom_amoc26.5N_g051pctbgcLR_rm10yrs,anom_amoc26.5N_u011pctbgcLR_rm10yrs,anom_amoc26.5N_u031pctbgcLR_rm10yrs,anom_amoc26.5N_u051pctbgcLR_rm10yrs,g01_flux_rm30yrs,g03_flux_rm30yrs,g05_flux_rm30yrs,u01_flux_rm30yrs,u03_flux_rm30yrs,u05_flux_rm30yrs,anom_amoc26.5N_g011pctbgcLR_rm30yrs,anom_amoc26.5N_g031pctbgcLR_rm30yrs,anom_amoc26.5N_g051pctbgcLR_rm30yrs,anom_amoc26.5N_u011pctbgcLR_rm30yrs,anom_amoc26.5N_u031pctbgcLR_rm30yrs,anom_amoc26.5N_u051pctbgcLR_rm30yrs
1850,,,,,,,,,,,,,,,20.240509033203125,20.20529556274414,19.55849266052246,19.279783248901367,19.813405990600586,20.56277847290039,19.659290313720703,36842.265625,36842.265625,36842.171875,36842.2109375,36842.1640625,36842.19140625,36842.30078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,-0.11491775512695312,-0.4931907653808594,0.00860595703125,-0.6849288940429688,1.0301246643066406,-1.6055049896240234,-0.9488792419433594,0.4110852777957916,0.3158036470413208,0.3027411699295044,0.2082769274711609,-0.10052603483200073,0.4693412184715271,0.3610643744468689,20.125591278076172,19.71210479736328,19.56709861755371,18.5948543548584,20.843530654907227,18.957273483276367,18.710411071777344,36842.67578125,36842.5859375,36842.46875,36842.41796875,36842.0625,36842.6640625,36842.6640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,1.1278133392333984,0.49456787109375,0.6216297149658203,0.02140045166015625,0.7052249908447266,-0.6178951263427734,0.19930458068847656,1.0168688297271729,0.8699266314506531,0.7830907106399536,0.7400330901145935,0.473884642124176,1.1148886680603027,0.8971020579338074,21.368322372436523,20.69986343383789,20.18012237548828,19.301183700561523,20.518630981445312,19.944883346557617,19.85859489440918,36843.28125,36843.13671875,36842.953125,36842.953125,36842.640625,36843.3046875,36843.19921875,-0.05166056752204895,-0.125434011220932,-0.07402738928794861,-0.03137287497520447,0.03976389765739441,-0.06974586844444275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,-0.3904380798339844,-0.6380596160888672,-0.10274505615234375,0.29492950439453125,1.0161609649658203,0.2317066192626953,0.019304275512695312,1.7866237163543701,1.776801586151123,1.4707164764404297,1.4278663396835327,1.388213038444519,2.162593364715576,1.5689637660980225,19.85007095336914,19.567235946655273,19.455747604370117,19.5747127532959,20.829566955566406,20.794485092163086,19.6785945892334,36844.046875,36844.046875,36843.640625,36843.640625,36843.5546875,36844.35546875,36843.87109375,0.1371200680732727,-0.08212912082672119,-0.08192163705825806,0.14457350969314575,0.27794981002807617,-0.09789317846298218,,,,,,,-0.3123086293538411,-1.046155293782552,-1.1582705179850261,-0.3780371348063151,-0.923274040222168,-1.3117218017578125,,,,,,,,,,,,,,,,,,,,,,,,
1854,0.5958614349365234,0.7078990936279297,0.2530059814453125,0.8895702362060547,-0.7342376708984375,-1.038614273071289,-0.8917045593261719,2.8033297061920166,2.7392613887786865,2.320208787918091,2.411212921142578,2.1972103118896484,2.964818239212036,2.4966273307800293,20.83637046813965,20.91319465637207,19.811498641967773,20.169353485107422,19.07916831970215,19.5241641998291,18.76758575439453,36845.06640625,36845.0078125,36844.48828125,36844.62109375,36844.36328125,36845.15625,36844.796875,-0.05424618721008301,-0.16721367835998535,-0.033359408378601074,-0.2077087163925171,-0.21448111534118652,-0.08904242515563965,-0.04026753703753153,0.008418659369150797,0.0565167764822642,-0.005957096815109253,0.05198983351389567,0.013118594884872437,-0.6948846181233724,-1.5342270533243816,-1.4385608037312825,-0.7217337290445963,-0.9263877868652344,-1.5962791442871094,,,,,,,,,,,,,,,,,,,,,,,,
1855,1.2170486450195312,0.6663665771484375,-1.2119789123535156,-0.231597900390625,0.2853870391845703,-1.6853160858154297,-0.9068946838378906,3.69583797454834,3.443169355392456,3.318951368331909,3.40392804145813,3.0280747413635254,3.951014995574951,3.697713851928711,21.457557678222656,20.871662139892578,18.346513748168945,19.048185348510742,20.098793029785156,18.87746238708496,18.752395629882812,36845.9609375,36845.7109375,36845.48828125,36845.6171875,36845.1953125,36846.140625,36846.0,-0.1886003017425537,0.10623431205749512,0.10020685195922852,-0.06164383888244629,0.0936884880065918,0.3085782527923584,-0.10330498218536377,-0.05036342144012451,0.011388997236887613,-0.05519002676010132,-0.08809212843577068,-0.06482434272766113,-1.0248177846272786,-1.9355751673380535,-1.7509822845458984,-0.6839752197265625,-1.4172474543253581,-1.8188422520955403,,,,,,,-1.225062942504883,-1.960928726196289,-2.254281234741211,-0.8327327728271484,-1.775685691833496,-2.4266284942626952,,,,,,,,,,,,
1856,2.229768753051758,-0.44396018981933594,-0.5751380920410156,-0.021984100341796875,1.312631607055664,0.7204990386962891,-0.3115367889404297,4.852082252502441,4.595530986785889,4.7952375411987305,4.949376106262207,4.200847625732422,5.216925144195557,4.9601359367370605,22.470277786254883,19.761335372924805,18.983354568481445,19.25779914855957,21.12603759765625,21.28327751159668,19.347753524780273,36847.1171875,36846.8671875,36846.96484375,36847.16015625,36846.3671875,36847.40625,36847.2578125,-0.0038826465606689453,0.3200418949127197,0.3892037868499756,0.016528606414794922,0.1096658706665039,0.10617780685424805,-0.07587043444315593,-0.05421590805053711,0.023569623629252117,-0.02127071221669515,-0.06355873743693034,-0.07012514273325603,-1.3873860041300456,-2.470210075378418,-2.516364097595215,-1.3555580774943035,-1.952654520670573,-2.6952060063680015,0.002551943063735962,-0.011396586894989014,-0.001309269666671753,0.036838454008102414,-0.027369046211242677,-0.0055692136287689206,-1.307929801940918,-2.1223684310913087,-2.3013332366943358,-0.9442293167114257,-1.739046287536621,-2.6539018630981444,,,,,,,,,,,,
1857,2.254274368286133,-0.3585700988769531,-0.6599979400634766,-0.7266674041748047,2.058237075805664,-2.4365921020507812,-0.009613037109375,6.246078968048096,5.857531547546387,6.062812805175781,6.308343887329102,5.667352199554443,6.6560378074646,6.205023765563965,22.494783401489258,19.846725463867188,18.898494720458984,18.553115844726562,21.87164306640625,18.12618637084961,19.649677276611328,36848.5078125,36848.12890625,36848.23046875,36848.51953125,36847.8359375,36848.84375,36848.5078125,-0.13199615478515625,-0.12642145156860352,-0.035028934478759766,0.07250785827636719,0.04511594772338867,-0.14910888671875,-0.01089934508005778,-0.02234041690826416,0.06065523624420166,0.06068110466003418,-0.03864137331644694,-0.068419615427653,-1.8271121978759766,-2.7405665715535483,-3.000426928202311,-1.2363115946451824,-2.4662179946899414,-3.1835193634033203,0.0014860391616821288,0.012195277214050292,-0.01496950387954712,0.021608912944793703,-0.03868834972381592,-0.0055065155029296875,-1.4273828506469726,-2.2912714004516603,-2.332830810546875,-0.9078210830688477,-1.8382003784179688,-3.1126173973083495,,,,,,,,,,,,
1858,2.1696224212646484,-0.25340843200683594,-0.7504940032958984,-1.7373008728027344,-0.4532756805419922,-0.42067527770996094,-2.6788177490234375,8.196911811828613,7.567259788513184,7.578824043273926,7.906488418579102,7.467360973358154,8.044328689575195,7.590305805206299,22.410131454467773,19.951887130737305,18.807998657226562,17.542482376098633,19.360130310058594,20.14210319519043,16.980472564697266,36850.4609375,36849.8359375,36849.74609375,36850.1171875,36849.6328125,36850.23828125,36849.89453125,-0.2411046028137207,-0.43482160568237305,-0.3526883125305176,-0.15082406997680664,-0.5625419616699219,-0.5655508041381836,0.022521416346232098,-0.04848321278889974,-0.06453704833984375,0.07943916320800781,-0.09008558591206868,-0.04725209871927897,-1.9364887873331706,-2.584207534790039,-2.9324076970418296,-1.0760218302408855,-2.169856071472168,-3.3473113377889,0.013958024978637695,0.03269796371459961,0.00224459171295166,0.01472322940826416,-0.001188182830810547,-0.024426198005676268,-1.5863595962524415,-2.4659263610839846,-2.6317358016967773,-1.0538322448730468,-2.3421884536743165,-3.7182086944580077,,,,,,,,,,,,
1859,1.506814956665039,-1.0195045471191406,-0.4581794738769531,-1.1038532257080078,0.8921947479248047,-3.2090415954589844,-2.9106311798095703,9.926904678344727,9.407613754272461,9.118488311767578,9.6762056350708,9.193161010742188,9.707040786743164,9.199451446533203,21.747323989868164,19.185791015625,19.100313186645508,18.17593002319336,20.70560073852539,17.353736877441406,16.748659133911133,36852.19140625,36851.67578125,36851.28515625,36851.88671875,36851.359375,36851.8984375,36851.5,0.11036109924316406,-0.19032859802246094,0.03972434997558594,-0.004192829132080078,-0.06728076934814453,-0.12084722518920898,0.0655976136525472,-0.0017813841501871746,-0.09511955579121907,0.06606753667195638,-0.0701454480489095,-0.038611650466918945,-1.7954966227213542,-2.4825919469197593,-2.7940136591593423,-0.9329166412353516,-2.3745193481445312,-3.843037764231364,0.0404094934463501,0.03649561405181885,-0.013312745094299316,0.029880571365356445,-0.020145082473754884,-0.06536283493041992,-1.6165945053100585,-2.6270341873168945,-2.991950798034668,-0.8084867477416993,-2.6269893646240234,-3.8081647872924806,,,,,,,,,,,,
